[32minfo | 2023-06-06T19:02:21.448Z | b1e67136-92ce-4564-9c21-25a0be4ab3fb | zbi | main | initializing database - mongodb-mem[39m
[32minfo | 2023-06-06T19:02:22.038Z | a3e8415d-9711-45c7-85d9-3b8ac4e3d042 | zbi | test-proj-repo | created schema: {"id":"647f82bd3b37a2a1e15cbf56","name":" tLwi3jp","owner":{"userid":"647f82bd3b37a2a1e15cbf4b","name":" cFP3b  PDkLLhWx","email":"9j3do@zbitech.io"},"team":{"id":"647f82bd3b37a2a1e15cbf53","name":" 6nKa8"},"network":"testnet","description":" 82ta0cBGuFOUvCVyqiuK"}[39m
[32minfo | 2023-06-06T19:02:22.050Z | a3e8415d-9711-45c7-85d9-3b8ac4e3d042 | zbi | mock-schema | creating 10 projects[39m
[37mdebug | 2023-06-06T19:02:22.078Z | 3f8cee82-1f12-467a-b033-c40bdf998c7f | zbi | validate-password | found user: {"_id":"647f82bd2ef63a46afad1b89","email":"test@zbitech.net","name":"Owner","role":"owner","status":"active","password":"$2b$10$B4lRufocbTS4X2Aey/yLueMlE2lC7Yk/kQ2UYNG1KGhRQL7T/j/O.","registration":{"acceptedTerms":true,"provider":"local","_id":"647f82bd2ef63a46afad1b8a","createdAt":"2023-06-06T19:02:21.995Z","updatedAt":"2023-06-06T19:02:21.995Z"},"createdAt":"2023-06-06T19:02:21.996Z","updatedAt":"2023-06-06T19:02:21.996Z","__v":0}[39m
[37mdebug | 2023-06-06T19:02:22.149Z | 3f8cee82-1f12-467a-b033-c40bdf998c7f | zbi | authenticate-user | found user: {"userid":"647f82bd2ef63a46afad1b89","name":"Owner","email":"test@zbitech.net","status":"active","role":"owner"}[39m
[32minfo | 2023-06-06T19:02:22.149Z | 3f8cee82-1f12-467a-b033-c40bdf998c7f | zbi | test-basic-id-svc | result = {"email":"test@zbitech.net","valid":true,"registered":true,"user":{"userid":"647f82bd2ef63a46afad1b89","name":"Owner","email":"test@zbitech.net","status":"active","role":"owner"}}[39m
[32minfo | 2023-06-06T19:02:22.159Z | c5281999-1a92-471f-8d89-8416375f32f4 | zbi | main | initializing mongo memory db[39m
[32minfo | 2023-06-06T19:02:22.162Z | c5281999-1a92-471f-8d89-8416375f32f4 | zbi | main | initializing db[39m
[32minfo | 2023-06-06T19:02:22.199Z | 3f8cee82-1f12-467a-b033-c40bdf998c7f | zbi | main | closed connection[39m
[32minfo | 2023-06-06T19:02:22.208Z | a3e8415d-9711-45c7-85d9-3b8ac4e3d042 | zbi | test-proj-repo | found projects: [{"id":"723539326a626b6672676e67","name":" 2rKSRIc","owner":{"userid":"647f82be3b37a2a1e15cbf61","name":" rn9aZ  av9V4Cld","email":"zviat@zbitech.io"},"team":{"id":"647f82be3b37a2a1e15cbf63","name":" 9VxJ7"},"network":"testnet","status":"new","description":" H9atxWpoofilkZtOuL2m"},{"id":"72756e6c6a61766630303732","name":" cx5KEpV","owner":{"userid":"647f82be3b37a2a1e15cbf67","name":" oE1NB  kwqUfGkh","email":"qpl16@zbitech.io"},"team":{"id":"647f82be3b37a2a1e15cbf69","name":" wY6NL"},"network":"testnet","status":"new","description":" 1dQm4GLPh2vVBOPc22q4"},{"id":"637266716a61786d6c783561","name":" B8URDfu","owner":{"userid":"647f82be3b37a2a1e15cbf6d","name":" hrMK8  oHd54xYq","email":"gucqg@zbitech.io"},"team":{"id":"647f82be3b37a2a1e15cbf6f","name":" 6yCgM"},"network":"testnet","status":"new","description":" LT55LiY2IgyKhAmrQh91"},{"id":"6e6f6164736d6c3663777835","name":" yIag93O","owner":{"userid":"647f82be3b37a2a1e15cbf73","name":" vCnfr  AIZXJ1CM","email":"f2we9@zbitech.io"},"team":{"id":"647f82be3b37a2a1e15cbf75","name":" sad8a"},"network":"testnet","status":"new","description":" w4XndHBvgVSdnOzPJevt"},{"id":"696e64633934366c6a763562","name":" D29VWMr","owner":{"userid":"647f82be3b37a2a1e15cbf79","name":" AdMvf  lJjVaIVG","email":"2wlui@zbitech.io"},"team":{"id":"647f82be3b37a2a1e15cbf7b","name":" gWTA3"},"network":"testnet","status":"new","description":" jHesJ4NIUmTvI5uvpEZV"}][39m
[32minfo | 2023-06-06T19:02:22.245Z | a3e8415d-9711-45c7-85d9-3b8ac4e3d042 | zbi | test-proj-repo | found project: {"id":"63316774357774367576716d","name":" CJ5S9du","owner":{"userid":"647f82be3b37a2a1e15cbfa4","name":" IfkXq  q56XabA7","email":"amspm@zbitech.io"},"team":{"id":"647f82be3b37a2a1e15cbfa6","name":" yP5QT"},"network":"testnet","status":"new","description":" GlHE6k60tFks1rkZR19C"}[39m
[32minfo | 2023-06-06T19:02:22.298Z | c5281999-1a92-471f-8d89-8416375f32f4 | zbi | main | db initialized[39m
[32minfo | 2023-06-06T19:02:22.324Z | c5281999-1a92-471f-8d89-8416375f32f4 | zbi | main | connected to memory server[39m
[32minfo | 2023-06-06T19:02:22.327Z | a3e8415d-9711-45c7-85d9-3b8ac4e3d042 | zbi | test-proj-repo | create instance: {"id":"647f82be3b37a2a1e15cbfbf","name":" 92DEbDX","type":"zcash","project":" nUp5aRJ","description":" XRM1  7PALeF4  VBRtK0  GvqhQ5Pjm  S6","status":"stopped","request":{"cpu":"0.5","memory":"0.5","peers":[]}}[39m
[32minfo | 2023-06-06T19:02:22.359Z | a3e8415d-9711-45c7-85d9-3b8ac4e3d042 | zbi | pmr.findInstance | found instance: {"_id":"647f82be3b37a2a1e15cbfd5","name":" H63N9c0","type":"zcash","project":{"_id":"75347369357976776473647a","name":" AdTpCbs"},"request":{"cpu":"0.5","memory":"0.5","peers":[],"_id":"647f82be3b37a2a1e15cbfd6","createdAt":"2023-06-06T19:02:22.349Z","updatedAt":"2023-06-06T19:02:22.349Z"},"resources":{"configmap":{"_id":"647f82be3b37a2a1e15cbfcd","createdAt":"2023-06-06T19:02:22.349Z","updatedAt":"2023-06-06T19:02:22.349Z"},"secret":{"_id":"647f82be3b37a2a1e15cbfce","createdAt":"2023-06-06T19:02:22.349Z","updatedAt":"2023-06-06T19:02:22.349Z"},"persistentvolumeclaim":{"_id":"647f82be3b37a2a1e15cbfcf","createdAt":"2023-06-06T19:02:22.349Z","updatedAt":"2023-06-06T19:02:22.349Z"},"deployment":{"_id":"647f82be3b37a2a1e15cbfd0","createdAt":"2023-06-06T19:02:22.349Z","updatedAt":"2023-06-06T19:02:22.349Z"},"service":{"_id":"647f82be3b37a2a1e15cbfd1","createdAt":"2023-06-06T19:02:22.349Z","updatedAt":"2023-06-06T19:02:22.349Z"},"httpproxy":{"_id":"647f82be3b37a2a1e15cbfd2","createdAt":"2023-06-06T19:02:22.349Z","updatedAt":"2023-06-06T19:02:22.349Z"},"snapshotschedule":{"_id":"647f82be3b37a2a1e15cbfd3","createdAt":"2023-06-06T19:02:22.349Z","updatedAt":"2023-06-06T19:02:22.349Z"},"_id":"647f82be3b37a2a1e15cbfd4","volumesnapshot":[]},"createdAt":"2023-06-06T19:02:22.349Z","updatedAt":"2023-06-06T19:02:22.349Z","__v":0}[39m
[32minfo | 2023-06-06T19:02:22.359Z | a3e8415d-9711-45c7-85d9-3b8ac4e3d042 | zbi | test-proj-repo | found instance: {"id":"647f82be3b37a2a1e15cbfd5","name":" H63N9c0","type":"zcash","project":" AdTpCbs","request":{"cpu":"0.5","memory":"0.5","peers":[]}}[39m
[31merror | 2023-06-06T19:02:22.366Z | a3e8415d-9711-45c7-85d9-3b8ac4e3d042 | zbi | pmr.findInstance | item 2y6akts45etn not found[39m
[32minfo | 2023-06-06T19:02:22.404Z | c5281999-1a92-471f-8d89-8416375f32f4 | zbi | main | closed connection[39m
[32minfo | 2023-06-06T19:02:22.412Z | a3e8415d-9711-45c7-85d9-3b8ac4e3d042 | zbi | test-proj-repo | created instance: {"name":" LYS7fv4","type":"zcash","project":"637669306c613331336b3165","request":{"cpu":"0.5","memory":"0.5","peers":[],"_id":"647f82be3b37a2a1e15cc01b","createdAt":"2023-06-06T19:02:22.409Z","updatedAt":"2023-06-06T19:02:22.409Z"},"resources":{"configmap":{"_id":"647f82be3b37a2a1e15cc012","createdAt":"2023-06-06T19:02:22.409Z","updatedAt":"2023-06-06T19:02:22.409Z"},"secret":{"_id":"647f82be3b37a2a1e15cc013","createdAt":"2023-06-06T19:02:22.409Z","updatedAt":"2023-06-06T19:02:22.409Z"},"persistentvolumeclaim":{"_id":"647f82be3b37a2a1e15cc014","createdAt":"2023-06-06T19:02:22.409Z","updatedAt":"2023-06-06T19:02:22.409Z"},"deployment":{"_id":"647f82be3b37a2a1e15cc015","createdAt":"2023-06-06T19:02:22.409Z","updatedAt":"2023-06-06T19:02:22.409Z"},"service":{"_id":"647f82be3b37a2a1e15cc016","createdAt":"2023-06-06T19:02:22.409Z","updatedAt":"2023-06-06T19:02:22.409Z"},"httpproxy":{"_id":"647f82be3b37a2a1e15cc017","createdAt":"2023-06-06T19:02:22.409Z","updatedAt":"2023-06-06T19:02:22.409Z"},"snapshotschedule":{"_id":"647f82be3b37a2a1e15cc018","createdAt":"2023-06-06T19:02:22.409Z","updatedAt":"2023-06-06T19:02:22.409Z"},"_id":"647f82be3b37a2a1e15cc019","volumesnapshot":[]},"_id":"647f82be3b37a2a1e15cc01a","createdAt":"2023-06-06T19:02:22.409Z","updatedAt":"2023-06-06T19:02:22.409Z","__v":0}[39m
[32minfo | 2023-06-06T19:02:22.417Z | a3e8415d-9711-45c7-85d9-3b8ac4e3d042 | zbi | pmr.deleteInstance | deleted instance (647f82be3b37a2a1e15cc01a) => {"_id":"647f82be3b37a2a1e15cc01a","name":" LYS7fv4","type":"zcash","project":"637669306c613331336b3165","request":{"cpu":"0.5","memory":"0.5","peers":[],"_id":"647f82be3b37a2a1e15cc01b","createdAt":"2023-06-06T19:02:22.409Z","updatedAt":"2023-06-06T19:02:22.409Z"},"resources":{"configmap":{"_id":"647f82be3b37a2a1e15cc012","createdAt":"2023-06-06T19:02:22.409Z","updatedAt":"2023-06-06T19:02:22.409Z"},"secret":{"_id":"647f82be3b37a2a1e15cc013","createdAt":"2023-06-06T19:02:22.409Z","updatedAt":"2023-06-06T19:02:22.409Z"},"persistentvolumeclaim":{"_id":"647f82be3b37a2a1e15cc014","createdAt":"2023-06-06T19:02:22.409Z","updatedAt":"2023-06-06T19:02:22.409Z"},"deployment":{"_id":"647f82be3b37a2a1e15cc015","createdAt":"2023-06-06T19:02:22.409Z","updatedAt":"2023-06-06T19:02:22.409Z"},"service":{"_id":"647f82be3b37a2a1e15cc016","createdAt":"2023-06-06T19:02:22.409Z","updatedAt":"2023-06-06T19:02:22.409Z"},"httpproxy":{"_id":"647f82be3b37a2a1e15cc017","createdAt":"2023-06-06T19:02:22.409Z","updatedAt":"2023-06-06T19:02:22.409Z"},"snapshotschedule":{"_id":"647f82be3b37a2a1e15cc018","createdAt":"2023-06-06T19:02:22.409Z","updatedAt":"2023-06-06T19:02:22.409Z"},"_id":"647f82be3b37a2a1e15cc019","volumesnapshot":[]},"createdAt":"2023-06-06T19:02:22.409Z","updatedAt":"2023-06-06T19:02:22.409Z","__v":0}[39m
[32minfo | 2023-06-06T19:02:22.433Z | a3e8415d-9711-45c7-85d9-3b8ac4e3d042 | zbi | test-proj-repo | created instance: {"name":" sA21RGa","type":"zcash","project":"65626d667a6e6b6773367374","request":{"cpu":"0.5","memory":"0.5","peers":[],"_id":"647f82be3b37a2a1e15cc039","createdAt":"2023-06-06T19:02:22.430Z","updatedAt":"2023-06-06T19:02:22.430Z"},"resources":{"configmap":{"_id":"647f82be3b37a2a1e15cc030","createdAt":"2023-06-06T19:02:22.430Z","updatedAt":"2023-06-06T19:02:22.430Z"},"secret":{"_id":"647f82be3b37a2a1e15cc031","createdAt":"2023-06-06T19:02:22.430Z","updatedAt":"2023-06-06T19:02:22.430Z"},"persistentvolumeclaim":{"_id":"647f82be3b37a2a1e15cc032","createdAt":"2023-06-06T19:02:22.430Z","updatedAt":"2023-06-06T19:02:22.430Z"},"deployment":{"_id":"647f82be3b37a2a1e15cc033","createdAt":"2023-06-06T19:02:22.430Z","updatedAt":"2023-06-06T19:02:22.430Z"},"service":{"_id":"647f82be3b37a2a1e15cc034","createdAt":"2023-06-06T19:02:22.430Z","updatedAt":"2023-06-06T19:02:22.430Z"},"httpproxy":{"_id":"647f82be3b37a2a1e15cc035","createdAt":"2023-06-06T19:02:22.430Z","updatedAt":"2023-06-06T19:02:22.430Z"},"snapshotschedule":{"_id":"647f82be3b37a2a1e15cc036","createdAt":"2023-06-06T19:02:22.430Z","updatedAt":"2023-06-06T19:02:22.430Z"},"_id":"647f82be3b37a2a1e15cc037","volumesnapshot":[]},"_id":"647f82be3b37a2a1e15cc038","createdAt":"2023-06-06T19:02:22.431Z","updatedAt":"2023-06-06T19:02:22.431Z","__v":0}[39m
[32minfo | 2023-06-06T19:02:22.436Z | a3e8415d-9711-45c7-85d9-3b8ac4e3d042 | zbi | pmr.deleteInstance | deleted instance (u4vvinfeg2ae) => null[39m
[32minfo | 2023-06-06T19:02:22.469Z | a3e8415d-9711-45c7-85d9-3b8ac4e3d042 | zbi | test-proj-repo | resources => {"configmap":{"id":"647f82be3b37a2a1e15cc062","name":"configmap","type":"configmap","status":"new","properties":{}},"secret":{"id":"647f82be3b37a2a1e15cc063","name":"secret","type":"secret","status":"new","properties":{}},"persistentvolumeclaim":{"id":"647f82be3b37a2a1e15cc064","name":"persistentvolumeclaim","type":"persistentvolumeclaim","status":"new","properties":{}},"deployment":{"id":"647f82be3b37a2a1e15cc065","name":"deployment","type":"deployment","status":"new","properties":{}},"service":{"id":"647f82be3b37a2a1e15cc066","name":"service","type":"service","status":"new","properties":{}},"httpproxy":{"id":"647f82be3b37a2a1e15cc067","name":"httpproxy","type":"httpproxy","status":"new","properties":{}},"volumesnapshot":[{"id":"647f82be3b37a2a1e15cc068","name":"snapshot-1","type":"volumesnapshot","status":"running","properties":{}},{"id":"647f82be3b37a2a1e15cc069","name":"snapshot-2","type":"volumesnapshot","status":"running","properties":{}},{"id":"647f82be3b37a2a1e15cc06a","name":"snapshot-3","type":"volumesnapshot","status":"running","properties":{}}],"snapshotschedule":{"id":"647f82be3b37a2a1e15cc06b","name":"schedule","type":"snapshotschedule","status":"new","properties":{}}}[39m
[32minfo | 2023-06-06T19:02:22.493Z | a3e8415d-9711-45c7-85d9-3b8ac4e3d042 | zbi | test-proj-repo | received => {"configmap":{"id":"647f82be3b37a2a1e15cc089","name":"configmap","type":"configmap","status":"new","properties":{}},"secret":{"id":"647f82be3b37a2a1e15cc08a","name":"secret","type":"secret","status":"new","properties":{}},"persistentvolumeclaim":{"id":"647f82be3b37a2a1e15cc08b","name":"persistentvolumeclaim","type":"persistentvolumeclaim","status":"new","properties":{}},"deployment":{"id":"647f82be3b37a2a1e15cc08c","name":"deployment","type":"deployment","status":"new","properties":{}},"service":{"id":"647f82be3b37a2a1e15cc08d","name":"service","type":"service","status":"new","properties":{}},"httpproxy":{"id":"647f82be3b37a2a1e15cc08e","name":"httpproxy","type":"httpproxy","status":"new","properties":{}},"volumesnapshot":[{"id":"647f82be3b37a2a1e15cc08f","name":"volumesnapshot-1","type":"volumesnapshot","status":"new","properties":{}},{"id":"647f82be3b37a2a1e15cc090","name":"volumesnapshot-2","type":"volumesnapshot","status":"new","properties":{}},{"id":"647f82be3b37a2a1e15cc091","name":"volumesnapshot-3","type":"volumesnapshot","status":"new","properties":{}}],"snapshotschedule":{"id":"647f82be3b37a2a1e15cc092","name":"schedule","type":"snapshotschedule","status":"new","properties":{}}}[39m
[32minfo | 2023-06-06T19:02:22.510Z | a3e8415d-9711-45c7-85d9-3b8ac4e3d042 | zbi | test-proj-repo | instance resources => {"name":" dqj3QQL","type":"zcash","project":"63696e67696334367664626e","request":{"cpu":"0.5","memory":"0.5","peers":[],"_id":"647f82be3b37a2a1e15cc0b3","createdAt":"2023-06-06T19:02:22.507Z","updatedAt":"2023-06-06T19:02:22.507Z"},"resources":{"configmap":{"name":"configmap","type":"configmap","status":"new","properties":{},"_id":"647f82be3b37a2a1e15cc0bc","createdAt":"2023-06-06T19:02:22.507Z","updatedAt":"2023-06-06T19:02:22.507Z"},"secret":{"name":"secret","type":"secret","status":"new","properties":{},"_id":"647f82be3b37a2a1e15cc0bd","createdAt":"2023-06-06T19:02:22.507Z","updatedAt":"2023-06-06T19:02:22.507Z"},"persistentvolumeclaim":{"name":"persistentvolumeclaim","type":"persistentvolumeclaim","status":"new","properties":{},"_id":"647f82be3b37a2a1e15cc0be","createdAt":"2023-06-06T19:02:22.507Z","updatedAt":"2023-06-06T19:02:22.507Z"},"deployment":{"name":"deployment","type":"deployment","status":"new","properties":{},"_id":"647f82be3b37a2a1e15cc0bf","createdAt":"2023-06-06T19:02:22.507Z","updatedAt":"2023-06-06T19:02:22.507Z"},"service":{"name":"service","type":"service","status":"new","properties":{},"_id":"647f82be3b37a2a1e15cc0c0","createdAt":"2023-06-06T19:02:22.507Z","updatedAt":"2023-06-06T19:02:22.507Z"},"httpproxy":{"name":"httpproxy","type":"httpproxy","status":"new","properties":{},"_id":"647f82be3b37a2a1e15cc0c1","createdAt":"2023-06-06T19:02:22.507Z","updatedAt":"2023-06-06T19:02:22.507Z"},"volumesnapshot":[{"name":"volumesnapshot-1","type":"volumesnapshot","status":"new","properties":{},"_id":"647f82be3b37a2a1e15cc0c2","createdAt":"2023-06-06T19:02:22.507Z","updatedAt":"2023-06-06T19:02:22.507Z"}],"snapshotschedule":{"name":"schedule","type":"snapshotschedule","status":"new","properties":{},"_id":"647f82be3b37a2a1e15cc0c3","createdAt":"2023-06-06T19:02:22.507Z","updatedAt":"2023-06-06T19:02:22.507Z"},"_id":"647f82be3b37a2a1e15cc0bb"},"_id":"647f82be3b37a2a1e15cc0b2","createdAt":"2023-06-06T19:02:22.507Z","updatedAt":"2023-06-06T19:02:22.507Z","__v":0}[39m
[32minfo | 2023-06-06T19:02:22.518Z | a3e8415d-9711-45c7-85d9-3b8ac4e3d042 | zbi | pmr.getInstanceResource | found resources => [{"_id":"647f82be3b37a2a1e15cc0b2","name":" dqj3QQL","resources":{"configmap":{"name":"configmap","type":"configmap","status":"new","properties":{},"_id":"647f82be3b37a2a1e15cc0bc","createdAt":"2023-06-06T19:02:22.507Z","updatedAt":"2023-06-06T19:02:22.507Z"},"secret":{"name":"secret","type":"secret","status":"new","properties":{},"_id":"647f82be3b37a2a1e15cc0bd","createdAt":"2023-06-06T19:02:22.507Z","updatedAt":"2023-06-06T19:02:22.507Z"},"persistentvolumeclaim":{"name":"persistentvolumeclaim","type":"persistentvolumeclaim","status":"new","properties":{},"_id":"647f82be3b37a2a1e15cc0be","createdAt":"2023-06-06T19:02:22.507Z","updatedAt":"2023-06-06T19:02:22.507Z"},"deployment":{"name":"deployment","type":"deployment","status":"new","properties":{},"_id":"647f82be3b37a2a1e15cc0bf","createdAt":"2023-06-06T19:02:22.507Z","updatedAt":"2023-06-06T19:02:22.507Z"},"service":{"name":"service","type":"service","status":"new","properties":{},"_id":"647f82be3b37a2a1e15cc0c0","createdAt":"2023-06-06T19:02:22.507Z","updatedAt":"2023-06-06T19:02:22.507Z"},"httpproxy":{"name":"httpproxy","type":"httpproxy","status":"new","properties":{},"_id":"647f82be3b37a2a1e15cc0c1","createdAt":"2023-06-06T19:02:22.507Z","updatedAt":"2023-06-06T19:02:22.507Z"},"volumesnapshot":[{"name":"volumesnapshot-1","type":"volumesnapshot","status":"new","properties":{},"_id":"647f82be3b37a2a1e15cc0c2","createdAt":"2023-06-06T19:02:22.507Z","updatedAt":"2023-06-06T19:02:22.507Z"}],"snapshotschedule":{"name":"schedule","type":"snapshotschedule","status":"new","properties":{},"_id":"647f82be3b37a2a1e15cc0c3","createdAt":"2023-06-06T19:02:22.507Z","updatedAt":"2023-06-06T19:02:22.507Z"},"_id":"647f82be3b37a2a1e15cc0bb"}}][39m
[32minfo | 2023-06-06T19:02:22.524Z | a3e8415d-9711-45c7-85d9-3b8ac4e3d042 | zbi | pmr.getInstanceResource | found resources => [{"_id":"647f82be3b37a2a1e15cc0b2","name":" dqj3QQL","resources":{"configmap":{"name":"configmap","type":"configmap","status":"new","properties":{},"_id":"647f82be3b37a2a1e15cc0bc","createdAt":"2023-06-06T19:02:22.507Z","updatedAt":"2023-06-06T19:02:22.507Z"},"secret":{"name":"secret","type":"secret","status":"new","properties":{},"_id":"647f82be3b37a2a1e15cc0bd","createdAt":"2023-06-06T19:02:22.507Z","updatedAt":"2023-06-06T19:02:22.507Z"},"persistentvolumeclaim":{"name":"persistentvolumeclaim","type":"persistentvolumeclaim","status":"new","properties":{},"_id":"647f82be3b37a2a1e15cc0be","createdAt":"2023-06-06T19:02:22.507Z","updatedAt":"2023-06-06T19:02:22.507Z"},"deployment":{"name":"deployment","type":"deployment","status":"new","properties":{},"_id":"647f82be3b37a2a1e15cc0bf","createdAt":"2023-06-06T19:02:22.507Z","updatedAt":"2023-06-06T19:02:22.507Z"},"service":{"name":"service","type":"service","status":"new","properties":{},"_id":"647f82be3b37a2a1e15cc0c0","createdAt":"2023-06-06T19:02:22.507Z","updatedAt":"2023-06-06T19:02:22.507Z"},"httpproxy":{"name":"httpproxy","type":"httpproxy","status":"new","properties":{},"_id":"647f82be3b37a2a1e15cc0c1","createdAt":"2023-06-06T19:02:22.507Z","updatedAt":"2023-06-06T19:02:22.507Z"},"volumesnapshot":[{"name":"volumesnapshot-1","type":"volumesnapshot","status":"new","properties":{},"_id":"647f82be3b37a2a1e15cc0c2","createdAt":"2023-06-06T19:02:22.507Z","updatedAt":"2023-06-06T19:02:22.507Z"}],"snapshotschedule":{"name":"schedule","type":"snapshotschedule","status":"new","properties":{},"_id":"647f82be3b37a2a1e15cc0c3","createdAt":"2023-06-06T19:02:22.507Z","updatedAt":"2023-06-06T19:02:22.507Z"},"_id":"647f82be3b37a2a1e15cc0bb"}}][39m
